Owned	OpenLibrary edition URL	OL edition short URL	ePub URL	ePub short URL	Amazon Kindle URL 1	Amazon Kindle short URL
1	http://openlibrary.org/books/OL23361006M/The_woman_in_white	http://bit.ly/1dDHV2g	https://archive.org/download/womaninwhite01coll/womaninwhite01coll.epub	http://bit.ly/1dDHULA	https://www.amazon.com/gp/digital/fiona/web-to-kindle?clientid=IA&itemid=womaninwhite01coll&docid=womaninwhite01coll	http://amzn.to/LxEOii
1	http://openlibrary.org/books/OL24360053M/The_secret_agent	http://bit.ly/1dDI1XH	https://archive.org/download/secretagentsimpl00conr/secretagentsimpl00conr.epub	http://bit.ly/1dDHZ21	https://www.amazon.com/gp/digital/fiona/web-to-kindle?clientid=IA&itemid=secretagentsimpl00conr&docid=secretagentsimpl00conr	http://amzn.to/LxEMqO
1	http://openlibrary.org/books/OL24186166M/The_deerslayer_or_The_first_war_path	http://bit.ly/1dDI31H	https://archive.org/download/cu31924022008746/cu31924022008746.epub	http://bit.ly/1diCMYM	https://www.amazon.com/gp/digital/fiona/web-to-kindle?clientid=IA&itemid=cu31924022008746&docid=cu31924022008746	http://amzn.to/LxEPCZ
1	http://openlibrary.org/books/OL14018216M/The_last_of_the_Mohicans	http://bit.ly/1dDI1Hb	https://archive.org/download/lastofmohicans00coopuoft/lastofmohicans00coopuoft.epub	http://bit.ly/1dDI1qx	https://www.amazon.com/gp/digital/fiona/web-to-kindle?clientid=IA&itemid=lastofmohicans00coopuoft&docid=lastofmohicans00coopuoft	http://amzn.to/LxEQa3
1	http://openlibrary.org/books/OL6941539M/Bleak_house	http://bit.ly/1dDIh93	https://archive.org/download/bleakhouse00dick/bleakhouse00dick.epub	http://bit.ly/1dDIiJY	https://www.amazon.com/gp/digital/fiona/web-to-kindle?clientid=IA&itemid=bleakhouse00dick&docid=bleakhouse00dick	http://amzn.to/LxEZdl
1	http://openlibrary.org/books/OL22878828M/Dombey_and_Son	http://bit.ly/1dDImcG	https://archive.org/download/dombeyson00dickuoft/dombeyson00dickuoft.epub	http://bit.ly/1dDIlFR	https://www.amazon.com/gp/digital/fiona/web-to-kindle?clientid=IA&itemid=dombeyson00dickuoft&docid=dombeyson00dickuoft	http://amzn.to/LxF152
1	http://openlibrary.org/books/OL24816212M/Great_expectations_and_Hard_times	http://bit.ly/1dDIr00	https://archive.org/download/greatexpectation08dick/greatexpectation08dick.epub	http://bit.ly/1dDIp8n	https://www.amazon.com/gp/digital/fiona/web-to-kindle?clientid=IA&itemid=greatexpectation08dick&docid=greatexpectation08dick	http://amzn.to/LxF40K
1	http://openlibrary.org/books/OL14032084M/The_old_curiosity_shop	http://bit.ly/1dDIvwL	https://archive.org/download/oldcuriosityshop00dickrich/oldcuriosityshop00dickrich.epub	http://bit.ly/1dDItoS	https://www.amazon.com/gp/digital/fiona/web-to-kindle?clientid=IA&itemid=oldcuriosityshop00dickrich&docid=oldcuriosityshop00dickrich	http://amzn.to/LxF6ps
1	http://openlibrary.org/books/OL24655423M/Oliver_Twist_or_The_parish_boy's_progress	http://bit.ly/1dDIwkq	https://archive.org/download/olivertwistorpar1907dick/olivertwistorpar1907dick.epub	http://bit.ly/1dDIw3T	https://www.amazon.com/gp/digital/fiona/web-to-kindle?clientid=IA&itemid=olivertwistorpar1907dick&docid=olivertwistorpar1907dick	http://amzn.to/LxF6Wh
1	http://openlibrary.org/books/OL6974856M/The_idiot.	http://bit.ly/1dDIEAs	https://archive.org/download/idiot00whisgoog/idiot00whisgoog.epub	http://bit.ly/1dDIE3x	https://www.amazon.com/gp/digital/fiona/web-to-kindle?clientid=IA&itemid=idiot00whisgoog&docid=idiot00whisgoog	http://amzn.to/LxFbt2
1	http://openlibrary.org/books/OL24474664M/Narrative_of_the_life_of_Frederick_Douglass_an_American_slave	http://bit.ly/1dDIGIo	https://archive.org/download/narrativeoflifeo1846doug/narrativeoflifeo1846doug.epub	http://bit.ly/1dDIFnP	https://www.amazon.com/gp/digital/fiona/web-to-kindle?clientid=IA&itemid=narrativeoflifeo1846doug&docid=narrativeoflifeo1846doug	http://amzn.to/LxFdRK
1	http://openlibrary.org/books/OL24929613M/The_man_in_the_iron_mask	http://bit.ly/1dDIRUb	https://archive.org/download/maninironmask1900duma/maninironmask1900duma.epub	http://bit.ly/1dDIRDA	https://www.amazon.com/gp/digital/fiona/web-to-kindle?clientid=IA&itemid=maninironmask1900duma&docid=maninironmask1900duma	http://amzn.to/LxFg02
1	http://openlibrary.org/books/OL24832865M/The_three_musketeers	http://bit.ly/1dDISHS	https://archive.org/download/threemusketeers1800duma/threemusketeers1800duma.epub	http://bit.ly/1dDISrg	https://www.amazon.com/gp/digital/fiona/web-to-kindle?clientid=IA&itemid=threemusketeers1800duma&docid=threemusketeers1800duma	http://amzn.to/LxFjcd
1	http://openlibrary.org/books/OL24830620M/Adam_Bede	http://bit.ly/1dDIWr4	https://archive.org/download/adambede1873elio/adambede1873elio.epub	http://bit.ly/1dDIWau	https://www.amazon.com/gp/digital/fiona/web-to-kindle?clientid=IA&itemid=adambede1873elio&docid=adambede1873elio	http://amzn.to/LxFhB9
